time,open,high,low,close,volume
1577836800,204.57,204.59,203.5,203.95,409.10
1577837700,204,204.21,203.81,203.95,158.42
1577838600,203.9,204.67,203.9,204.54,245.08
1577839500,204.54,204.56,204.18,204.43,60.74
1577840400,204.46,205.83,204.29,205.48,547.23
1577841300,205.48,207.17,205.37,206.6,1426.26
1577842200,206.68,207.15,205.98,206.42,872.95
1577843100,206.38,206.39,206,206.19,138.72
1577844000,206.25,206.84,206.16,206.42,175.55
1577844900,206.46,207.43,206.42,206.89,277.43
1577845800,207.02,207.43,206.78,207.43,235.13
1577846700,207.37,207.88,207.13,207.38,381.77
1577847600,207.33,207.33,206.09,206.38,398.21
1577848500,206.31,207.22,206.06,207.15,899.04
1577849400,207.16,207.16,205.92,205.93,212.63
1577850300,205.81,206.05,205.45,205.71,415.43
1577851200,205.71,205.94,205.34,205.36,204.12
1577852100,205.36,205.75,205.21,205.44,468.90
1577853000,205.41,207,205.38,206.46,450.95
1577853900,206.47,207.06,206.16,206.2,411.35
1577854800,206.2,206.85,206.2,206.28,188.39
1577855700,206.32,206.63,206.1,206.37,77.66
1577856600,206.36,206.46,206.21,206.23,57.68
1577857500,206.29,206.73,206.29,206.54,171.90
1577858400,206.58,207.3,206.5,207.09,237.66
1577859300,207.05,207.48,206.86,207.48,368.65
1577860200,207.36,207.37,206.97,206.97,89.71
1577861100,207.02,207.03,206.69,207.01,169.43
1577862000,207.06,207.08,206.81,206.97,206.63
1577862900,206.92,207.5,206.89,207.31,859.22
1577863800,207.34,207.34,206.22,206.28,580.79
1577864700,206.28,206.71,206.26,206.59,237.75
1577865600,206.56,206.56,205.89,206.05,373.60
1577866500,206.04,206.04,204.94,205.55,1137.36
1577867400,205.58,206.11,205.33,205.55,237.14
1577868300,205.45,206.21,205.34,206.21,291.10
1577869200,206.13,206.74,205.87,205.9,496.44
1577870100,205.81,205.99,205.64,205.82,86.83
1577871000,205.98,206.02,205.74,205.88,36.18
1577871900,205.9,205.99,205.1,205.27,472.15
1577872800,205.26,206.04,205.01,205.98,226.05
1577873700,206.05,206.7,205.85,206.61,432.28
1577874600,206.6,206.7,206.29,206.48,145.92
1577875500,206.48,206.72,206.39,206.42,114.86
1577876400,206.41,206.9,206.32,206.78,160.69
1577877300,206.86,209,206.78,208.36,3415.84
1577878200,208.31,208.51,207.17,207.75,405.63
1577879100,207.7,207.77,205.5,205.96,1690.13
1577880000,205.96,206.92,205.95,206.82,407.18
1577880900,206.72,207.56,206.61,206.93,261.75
1577881800,207.02,207.43,206.77,207.2,106.03
1577882700,207.13,207.4,206.89,207.23,85.31
1577883600,207.27,207.36,206.8,206.97,220.33
1577884500,206.98,207.25,206.74,207.06,272.32
1577885400,207.07,207.7,207.07,207.48,274.99
1577886300,207.48,207.57,206.92,207.05,328.37
1577887200,207.08,207.31,205.7,205.82,787.17
1577888100,205.82,207.29,205.78,207.2,826.72
1577889000,207.12,207.45,206.51,206.63,408.02
1577889900,206.63,206.64,205.87,206.26,505.86
1577890800,206.25,207,206.08,206.24,406.15
1577891700,206.35,206.35,205.53,205.87,872.70
1577892600,205.86,207.39,205.81,206.25,862.90
1577893500,206.45,206.5,205.3,206.06,633.56
1577894400,206.07,206.8,205.56,206.61,337.45
1577895300,206.6,206.61,205.8,205.96,614.81
1577896200,205.98,206.53,205.75,206.37,164.47
1577897100,206.32,207.1,206.08,207.08,507.68
1577898000,207.1,207.1,206.02,206.77,722.99
1577898900,206.78,207.1,206.53,206.84,283.22
1577899800,206.79,206.79,206.14,206.28,172.08
1577900700,206.29,206.65,206.19,206.44,98.02
1577901600,206.44,206.84,206.15,206.76,178.25
1577902500,206.8,206.8,206,206,118.85
1577903400,205.93,206.27,205.56,206.15,209.14
1577904300,206.16,206.47,205.8,206.22,182.15
1577905200,206.17,206.17,205.65,205.83,121.16
1577906100,205.85,205.92,205.25,205.29,378.34
1577907000,205.34,205.71,205.17,205.37,506.71
1577907900,205.31,205.74,205.25,205.27,36.86
1577908800,205.32,205.77,205.28,205.4,130.99
1577909700,205.48,206.77,205.22,206.74,650.95
1577910600,206.7,207,205.9,206.01,911.94
1577911500,206.03,206.65,205.94,206.48,252.17
1577912400,206.47,206.47,205.71,205.97,928.85
1577913300,205.95,206.35,205.61,205.81,416.50
1577914200,205.87,205.87,205.25,205.74,1203.82
1577915100,205.72,205.96,205.38,205.71,758.49
1577916000,205.66,205.66,205.09,205.33,691.95
1577916900,205.42,205.61,205.18,205.19,489.17
1577917800,205.19,205.28,204.22,204.63,732.94
1577918700,204.62,204.92,204.23,204.86,223.12
1577919600,204.83,204.87,203.1,203.49,1335.11
1577920500,203.48,204.47,203.19,204.31,635.03
1577921400,204.22,204.44,203.81,204.36,374.98
1577922300,204.42,204.59,204.27,204.44,250.70
1577923200,204.43,204.43,203.79,203.93,375.28
1577924100,203.93,204.48,203.7,204.24,251.69
1577925000,204.25,205.33,204.25,205.29,352.24
1577925900,205.25,205.53,204.9,204.94,305.28
1577926800,204.94,204.98,204.67,204.76,147.19
1577927700,204.76,204.89,204.6,204.72,101.71
1577928600,204.75,204.95,204.57,204.78,365.11
1577929500,204.72,204.72,204.3,204.4,118.48
1577930400,204.38,204.38,203.45,203.71,437.01
1577931300,203.74,204.03,202.92,203.21,4651.71
1577932200,203.18,203.67,202.89,203.59,998.69
1577933100,203.63,203.68,203.36,203.52,229.94
1577934000,203.47,203.47,202.49,202.62,1441.52
1577934900,202.6,202.91,202.2,202.36,702.07
1577935800,202.35,202.69,201.37,201.62,1301.35
1577936700,201.62,201.88,200.55,201.08,2095.04
1577937600,201.06,202.14,200.63,201.65,1130.92
1577938500,201.71,202.45,201.69,201.79,1107.85
1577939400,201.77,202.26,201.22,201.87,411.29
1577940300,201.87,202.33,201.6,201.88,306.03
1577941200,201.9,202.21,201.37,201.86,351.81
1577942100,201.9,202.52,201.9,202.48,253.78
1577943000,202.38,202.62,202.25,202.25,118.24
1577943900,202.22,202.28,201.7,202.27,246.77
1577944800,202.25,202.36,201.98,202.12,136.16
1577945700,202.13,202.74,202.09,202.51,145.39
1577946600,202.54,202.54,201.93,202.23,147.71
1577947500,202.23,202.23,201.3,201.92,924.31
1577948400,201.94,202.09,201.3,201.48,269.38
1577949300,201.49,201.56,201,201.11,651.35
1577950200,201.15,201.75,200.84,201.69,873.49
1577951100,201.7,202.24,201.45,201.56,573.20
1577952000,201.54,203.38,201.54,203.14,1469.36
1577952900,203.22,203.36,202.59,202.74,303.49
1577953800,202.68,203.3,202.23,202.81,524.44
1577954700,202.83,203.33,202.72,203.28,208.64
1577955600,203.29,203.32,202.74,203.05,291.72
1577956500,203.11,203.43,202.7,203.01,548.53
1577957400,202.89,203,202.57,202.89,215.25
1577958300,202.77,203.5,202.76,203.36,321.95
1577959200,203.37,203.98,203.37,203.67,506.03
1577960100,203.66,204.01,203.48,203.92,374.97
1577961000,203.9,204.01,203.29,203.37,882.15
1577961900,203.34,203.66,203.02,203.5,192.43
1577962800,203.48,203.7,203.45,203.56,229.82
1577963700,203.55,203.55,202.92,203.07,448.53
1577964600,203.09,203.09,202.53,202.78,322.00
1577965500,202.82,203.01,202.29,202.34,283.28
1577966400,202.2,203.46,202.2,203.22,239.51
1577967300,203.21,203.24,202.87,203,138.45
1577968200,203.01,203.13,202.41,202.51,140.08
1577969100,202.51,203.32,202.51,203.32,360.81
1577970000,203.28,203.95,203.09,203.25,298.28
1577970900,203.27,203.54,202.85,203.01,435.88
1577971800,203.01,203.08,202,202.64,563.11
1577972700,202.55,202.72,201.38,202.44,647.47
1577973600,202.45,202.78,202.02,202.39,395.49
1577974500,202.41,202.77,202.1,202.75,368.53
1577975400,202.78,204.19,202.63,204.01,1104.08
1577976300,203.96,204.25,202.81,202.93,915.55
1577977200,202.93,203.94,202.93,203.19,410.58
1577978100,203.1,203.54,202.87,202.9,480.73
1577979000,202.82,202.96,202.08,202.45,328.71
1577979900,202.52,202.91,202.14,202.58,193.46
1577980800,202.55,203.3,201.75,201.85,760.71
1577981700,201.9,202.29,201.43,201.69,536.56
1577982600,201.77,202.1,201.45,201.61,389.77
1577983500,201.55,201.55,198.32,199.18,4289.33
1577984400,199.12,199.12,195.64,197.54,7595.14
1577985300,197.54,197.82,196.27,196.69,1940.60
1577986200,196.65,197.36,195.75,197.1,3409.87
1577987100,197.07,197.25,196.7,197.12,651.94
1577988000,197.16,197.18,196.44,196.83,538.64
1577988900,196.82,197.25,196.66,196.74,402.78
1577989800,196.72,196.9,196.5,196.58,572.15
1577990700,196.59,197.21,196.51,196.75,283.21
1577991600,196.79,197.03,195.86,196.44,1179.47
1577992500,196.47,196.85,195.91,196.17,516.29
1577993400,196.16,196.45,196.02,196.22,318.49
1577994300,196.23,196.59,196.13,196.13,256.46
1577995200,196.14,196.22,194.86,195.39,1444.55
1577996100,195.39,195.39,192.8,193.6,3097.40
1577997000,193.59,196.81,193.59,194.38,3974.70
1577997900,194.37,194.93,194.18,194.85,942.00
1577998800,194.85,194.86,193.57,194.07,2152.59
1577999700,194.19,194.64,194.19,194.54,531.18
1578000600,194.52,194.96,194.5,194.85,250.08
1578001500,194.85,195.12,194.72,194.85,453.36
1578002400,194.82,194.86,194.5,194.66,173.61
1578003300,194.62,195.01,194.59,194.84,235.48
1578004200,194.81,195,194.7,194.89,218.32
1578005100,194.96,195.57,194.96,195.48,454.03
1578006000,195.39,195.57,194.84,194.96,676.48
1578006900,194.95,195.3,194.74,195.25,1226.24
1578007800,195.37,196.07,195.26,195.95,975.34
1578008700,195.94,196.08,195.39,195.49,369.06
1578009600,195.49,195.97,194.77,195.78,1540.23
1578010500,195.81,195.81,194.55,194.76,451.21
1578011400,194.72,195.02,193.79,193.94,302.10
1578012300,194.01,194.55,193.6,194.31,365.56
1578013200,194.31,194.45,193.4,193.74,651.90
1578014100,193.71,194.22,193.48,194.15,691.56
1578015000,194.17,194.22,193.58,194.05,421.24
1578015900,194.01,194.01,191.9,192.28,1676.15
1578016800,192.34,193.68,191.9,193.52,1176.80
1578017700,193.45,194.85,193.36,194.48,1620.75
1578018600,194.48,195.18,194.44,194.8,1021.73
1578019500,194.8,195.97,194.68,195.58,915.59
1578020400,195.58,195.84,194.94,195.75,601.24
1578021300,195.7,195.83,195.26,195.27,601.53
1578022200,195.26,195.49,194.8,195.36,379.52
1578023100,195.35,195.59,195.24,195.56,190.44
1578024000,195.57,196.65,195.51,196.65,941.43
1578024900,196.63,197.22,196.07,196.6,1462.25
1578025800,196.59,203.27,196.58,202.41,8372.92
1578026700,202.43,205.32,201.82,203.04,15753.18
1578027600,203.14,204.71,202.38,202.54,3753.28
1578028500,202.55,203.29,202.25,202.62,1321.85
1578029400,202.72,203.28,202.45,203.08,753.19
1578030300,203.01,204.44,202.92,204.2,2015.48
1578031200,204.16,204.34,203.34,203.65,1044.19
1578032100,203.6,204.3,203.05,204.19,4837.36
1578033000,204.27,205.11,204.07,204.4,2322.13
1578033900,204.33,208,204.26,205.69,5935.07
1578034800,205.82,206.4,205.36,205.92,2087.30
1578035700,205.99,208,205.59,207.54,2811.22
1578036600,207.56,207.56,206.13,206.7,2627.49
1578037500,206.7,206.76,205.28,206.06,2385.39
1578038400,206.01,207.06,205.56,205.91,1802.37
1578039300,205.91,206.15,205.46,206.13,1125.20
1578040200,206.16,210.3,206.12,209.99,4972.07
1578041100,209.93,211.31,209.29,210.61,5437.50
1578042000,210.61,214.26,210.46,212.33,5930.57
1578042900,212.4,212.85,211.22,212.15,1549.42
1578043800,212.11,213,211.67,212.28,1655.54
1578044700,212.28,215.35,212.28,214,5901.66
1578045600,213.96,214.6,212.2,213.41,3229.06
