time,open,high,low,close,volume
1.58E+09,204.57,204.59,203.5,203.95,409.09616
1.58E+09,204,204.21,203.81,203.95,158.42325
1.58E+09,203.9,204.67,203.9,204.54,245.08427
1.58E+09,204.54,204.56,204.18,204.43,60.74416
1.58E+09,204.46,205.83,204.29,205.48,547.23411
1.58E+09,205.48,207.17,205.37,206.6,1426.26386
1.58E+09,206.68,207.15,205.98,206.42,872.95168
1.58E+09,206.38,206.39,206,206.19,138.71546
1.58E+09,206.25,206.84,206.16,206.42,175.55219
1.58E+09,206.46,207.43,206.42,206.89,277.42909
1.58E+09,207.02,207.43,206.78,207.43,235.12971
1.58E+09,207.37,207.88,207.13,207.38,381.77055
1.58E+09,207.33,207.33,206.09,206.38,398.21497
1.58E+09,206.31,207.22,206.06,207.15,899.038
1.58E+09,207.16,207.16,205.92,205.93,212.63431
1.58E+09,205.81,206.05,205.45,205.71,415.42618
1.58E+09,205.71,205.94,205.34,205.36,204.11908
1.58E+09,205.36,205.75,205.21,205.44,468.90028
1.58E+09,205.41,207,205.38,206.46,450.95114
1.58E+09,206.47,207.06,206.16,206.2,411.34629
1.58E+09,206.2,206.85,206.2,206.28,188.38998
1.58E+09,206.32,206.63,206.1,206.37,77.66153
1.58E+09,206.36,206.46,206.21,206.23,57.67782
1.58E+09,206.29,206.73,206.29,206.54,171.90373
1.58E+09,206.58,207.3,206.5,207.09,237.66322
1.58E+09,207.05,207.48,206.86,207.48,368.65008
1.58E+09,207.36,207.37,206.97,206.97,89.71147
1.58E+09,207.02,207.03,206.69,207.01,169.42757
1.58E+09,207.06,207.08,206.81,206.97,206.633
1.58E+09,206.92,207.5,206.89,207.31,859.22411
1.58E+09,207.34,207.34,206.22,206.28,580.79418
1.58E+09,206.28,206.71,206.26,206.59,237.75014
1.58E+09,206.56,206.56,205.89,206.05,373.59518
1.58E+09,206.04,206.04,204.94,205.55,1137.36479
1.58E+09,205.58,206.11,205.33,205.55,237.14009
1.58E+09,205.45,206.21,205.34,206.21,291.097
1.58E+09,206.13,206.74,205.87,205.9,496.43964
1.58E+09,205.81,205.99,205.64,205.82,86.83235
1.58E+09,205.98,206.02,205.74,205.88,36.18187
1.58E+09,205.9,205.99,205.1,205.27,472.15226
1.58E+09,205.26,206.04,205.01,205.98,226.04646
1.58E+09,206.05,206.7,205.85,206.61,432.28139
1.58E+09,206.6,206.7,206.29,206.48,145.92437
1.58E+09,206.48,206.72,206.39,206.42,114.85788
1.58E+09,206.41,206.9,206.32,206.78,160.6926
1.58E+09,206.86,209,206.78,208.36,3415.83763
1.58E+09,208.31,208.51,207.17,207.75,405.62655
1.58E+09,207.7,207.77,205.5,205.96,1690.1252
1.58E+09,205.96,206.92,205.95,206.82,407.17809
1.58E+09,206.72,207.56,206.61,206.93,261.74745
1.58E+09,207.02,207.43,206.77,207.2,106.03475
1.58E+09,207.13,207.4,206.89,207.23,85.30995
1.58E+09,207.27,207.36,206.8,206.97,220.33057
1.58E+09,206.98,207.25,206.74,207.06,272.32321
1.58E+09,207.07,207.7,207.07,207.48,274.98955
1.58E+09,207.48,207.57,206.92,207.05,328.37384
1.58E+09,207.08,207.31,205.7,205.82,787.16626
1.58E+09,205.82,207.29,205.78,207.2,826.7213
1.58E+09,207.12,207.45,206.51,206.63,408.0202
1.58E+09,206.63,206.64,205.87,206.26,505.86405
1.58E+09,206.25,207,206.08,206.24,406.14674
1.58E+09,206.35,206.35,205.53,205.87,872.70225
1.58E+09,205.86,207.39,205.81,206.25,862.9042
1.58E+09,206.45,206.5,205.3,206.06,633.55946
1.58E+09,206.07,206.8,205.56,206.61,337.45367
1.58E+09,206.6,206.61,205.8,205.96,614.813
1.58E+09,205.98,206.53,205.75,206.37,164.47351
1.58E+09,206.32,207.1,206.08,207.08,507.6795
1.58E+09,207.1,207.1,206.02,206.77,722.99051
1.58E+09,206.78,207.1,206.53,206.84,283.21866
1.58E+09,206.79,206.79,206.14,206.28,172.07694
1.58E+09,206.29,206.65,206.19,206.44,98.01796
1.58E+09,206.44,206.84,206.15,206.76,178.25017
1.58E+09,206.8,206.8,206,206,118.85003
1.58E+09,205.93,206.27,205.56,206.15,209.13711
1.58E+09,206.16,206.47,205.8,206.22,182.14884
1.58E+09,206.17,206.17,205.65,205.83,121.15623
1.58E+09,205.85,205.92,205.25,205.29,378.33669
1.58E+09,205.34,205.71,205.17,205.37,506.70977
1.58E+09,205.31,205.74,205.25,205.27,36.85852
1.58E+09,205.32,205.77,205.28,205.4,130.98566
1.58E+09,205.48,206.77,205.22,206.74,650.95435
1.58E+09,206.7,207,205.9,206.01,911.94254
1.58E+09,206.03,206.65,205.94,206.48,252.17315
1.58E+09,206.47,206.47,205.71,205.97,928.85005
1.58E+09,205.95,206.35,205.61,205.81,416.50389
1.58E+09,205.87,205.87,205.25,205.74,1203.82126
1.58E+09,205.72,205.96,205.38,205.71,758.48651
1.58E+09,205.66,205.66,205.09,205.33,691.95298
1.58E+09,205.42,205.61,205.18,205.19,489.16687
1.58E+09,205.19,205.28,204.22,204.63,732.94396
1.58E+09,204.62,204.92,204.23,204.86,223.11554
1.58E+09,204.83,204.87,203.1,203.49,1335.10823
1.58E+09,203.48,204.47,203.19,204.31,635.02585
1.58E+09,204.22,204.44,203.81,204.36,374.97822
1.58E+09,204.42,204.59,204.27,204.44,250.69963
1.58E+09,204.43,204.43,203.79,203.93,375.28324
1.58E+09,203.93,204.48,203.7,204.24,251.68646
1.58E+09,204.25,205.33,204.25,205.29,352.24466
1.58E+09,205.25,205.53,204.9,204.94,305.27696
1.58E+09,204.94,204.98,204.67,204.76,147.19325
1.58E+09,204.76,204.89,204.6,204.72,101.70702
1.58E+09,204.75,204.95,204.57,204.78,365.10954
1.58E+09,204.72,204.72,204.3,204.4,118.48317
1.58E+09,204.38,204.38,203.45,203.71,437.0061
1.58E+09,203.74,204.03,202.92,203.21,4651.71105
1.58E+09,203.18,203.67,202.89,203.59,998.6909
1.58E+09,203.63,203.68,203.36,203.52,229.93862
1.58E+09,203.47,203.47,202.49,202.62,1441.5186
1.58E+09,202.6,202.91,202.2,202.36,702.07225
1.58E+09,202.35,202.69,201.37,201.62,1301.34864
1.58E+09,201.62,201.88,200.55,201.08,2095.04428
1.58E+09,201.06,202.14,200.63,201.65,1130.92146
1.58E+09,201.71,202.45,201.69,201.79,1107.85253
1.58E+09,201.77,202.26,201.22,201.87,411.28654
1.58E+09,201.87,202.33,201.6,201.88,306.02651
1.58E+09,201.9,202.21,201.37,201.86,351.8141
1.58E+09,201.9,202.52,201.9,202.48,253.78182
1.58E+09,202.38,202.62,202.25,202.25,118.23952
1.58E+09,202.22,202.28,201.7,202.27,246.7671
1.58E+09,202.25,202.36,201.98,202.12,136.15752
1.58E+09,202.13,202.74,202.09,202.51,145.39439
1.58E+09,202.54,202.54,201.93,202.23,147.70695
1.58E+09,202.23,202.23,201.3,201.92,924.31312
1.58E+09,201.94,202.09,201.3,201.48,269.37771
1.58E+09,201.49,201.56,201,201.11,651.34541
1.58E+09,201.15,201.75,200.84,201.69,873.48976
1.58E+09,201.7,202.24,201.45,201.56,573.20236
1.58E+09,201.54,203.38,201.54,203.14,1469.35834
1.58E+09,203.22,203.36,202.59,202.74,303.49115
1.58E+09,202.68,203.3,202.23,202.81,524.44382
1.58E+09,202.83,203.33,202.72,203.28,208.63527
1.58E+09,203.29,203.32,202.74,203.05,291.72222
1.58E+09,203.11,203.43,202.7,203.01,548.52643
1.58E+09,202.89,203,202.57,202.89,215.24831
1.58E+09,202.77,203.5,202.76,203.36,321.94968
1.58E+09,203.37,203.98,203.37,203.67,506.02959
1.58E+09,203.66,204.01,203.48,203.92,374.97278
1.58E+09,203.9,204.01,203.29,203.37,882.15442
1.58E+09,203.34,203.66,203.02,203.5,192.42629
1.58E+09,203.48,203.7,203.45,203.56,229.8228
1.58E+09,203.55,203.55,202.92,203.07,448.53068
1.58E+09,203.09,203.09,202.53,202.78,322.002
1.58E+09,202.82,203.01,202.29,202.34,283.27944
1.58E+09,202.2,203.46,202.2,203.22,239.5107
1.58E+09,203.21,203.24,202.87,203,138.45386
1.58E+09,203.01,203.13,202.41,202.51,140.07912
1.58E+09,202.51,203.32,202.51,203.32,360.81225
1.58E+09,203.28,203.95,203.09,203.25,298.27765
1.58E+09,203.27,203.54,202.85,203.01,435.87976
