time,open,high,low,close,volume
1.58E+09,129.16,129.19,128.69,128.91,1883.57914
1.58E+09,128.91,129.05,128.68,128.78,3686.07368
1.58E+09,128.76,129.03,128.76,128.86,1141.18288
1.58E+09,128.87,128.96,128.68,128.87,1058.33766
1.58E+09,128.87,129.25,128.78,129.13,1369.76626
1.58E+09,129.13,130.58,129.07,130.26,5366.41718
1.58E+09,130.26,130.65,130.18,130.33,2489.39299
1.58E+09,130.37,130.65,129.91,130.64,2119.07873
1.58E+09,130.63,130.95,130.35,130.48,2677.52701
1.58E+09,130.47,130.94,130.47,130.76,1378.84259
1.58E+09,130.79,130.98,130.61,130.75,1893.20604
1.58E+09,130.74,130.9,130.66,130.85,1653.78059
1.58E+09,130.85,130.89,130.06,130.2,2252.72265
1.58E+09,130.2,130.56,130.16,130.48,835.55431
1.58E+09,130.47,130.48,130.06,130.12,671.98651
1.58E+09,130.06,130.34,129.94,130.2,1208.29086
1.58E+09,130.21,130.42,130.16,130.22,984.03547
1.58E+09,130.25,130.36,130.15,130.19,791.89104
1.58E+09,130.19,130.74,130.15,130.45,1134.00692
1.58E+09,130.46,130.58,130.19,130.2,487.97404
1.58E+09,130.2,130.43,130.14,130.2,1523.8594
1.58E+09,130.2,130.44,130.11,130.33,694.21799
1.58E+09,130.32,130.39,130.19,130.31,1155.53936
1.58E+09,130.31,130.47,130.23,130.3,869.98965
1.58E+09,130.31,130.67,130.26,130.48,1137.73688
1.58E+09,130.48,130.75,130.44,130.75,891.78258
1.58E+09,130.74,130.75,130.59,130.62,483.02304
1.58E+09,130.67,130.67,130.27,130.44,1156.35916
1.58E+09,130.47,130.54,130.33,130.48,640.52537
1.58E+09,130.47,130.71,130.38,130.58,992.74563
1.58E+09,130.58,130.66,130.14,130.17,1445.94248
1.58E+09,130.15,130.37,130.15,130.24,1067.96065
1.58E+09,130.24,130.3,130.08,130.14,1398.76863
1.58E+09,130.13,130.14,129.87,130,3759.76836
1.58E+09,130,130.16,129.9,129.99,1088.57339
1.58E+09,129.95,130.41,129.88,130.36,1294.33459
1.58E+09,130.4,130.62,130.25,130.32,2551.47408
1.58E+09,130.3,130.44,130.24,130.31,963.03746
1.58E+09,130.35,130.49,130.31,130.38,509.12347
1.58E+09,130.37,130.43,130.13,130.17,784.56995
1.58E+09,130.17,130.57,130.07,130.56,1594.40408
1.58E+09,130.55,130.61,130.36,130.59,1966.47108
1.58E+09,130.59,130.79,130.49,130.78,469.29761
1.58E+09,130.78,130.82,130.63,130.7,595.32893
1.58E+09,130.67,130.8,130.6,130.77,689.22623
1.58E+09,130.77,131.87,130.69,131.7,4759.27889
1.58E+09,131.7,131.79,131.33,131.58,1718.31696
1.58E+09,131.61,131.67,130.62,130.74,3680.96824
1.58E+09,130.74,131.2,130.7,130.99,1527.03762
1.58E+09,130.96,131.35,130.95,131.05,539.34984
1.58E+09,131.02,131.37,130.96,131.25,960.72669
1.58E+09,131.26,131.61,131.19,131.61,1136.19252
1.58E+09,131.6,131.9,131.46,131.5,3433.24612
1.58E+09,131.55,131.59,131.28,131.46,1865.17945
1.58E+09,131.43,131.73,131.39,131.68,987.47715
1.58E+09,131.66,131.88,131.59,131.68,874.7503
1.58E+09,131.66,131.7,131.24,131.63,1544.65301
1.58E+09,131.64,132.23,131.6,132.2,2896.62634
1.58E+09,132.2,132.37,131.87,132.06,1946.32345
1.58E+09,132.08,132.08,131.82,131.96,937.65482
1.58E+09,131.95,132.2,131.93,132.01,1276.59585
1.58E+09,132.01,132.03,131.6,131.74,1228.66788
1.58E+09,131.74,132.4,131.71,132.03,1772.05603
1.58E+09,132.03,132.17,131.67,132.08,1083.7495
1.58E+09,132.08,132.38,131.82,132.23,1430.54226
1.58E+09,132.23,132.25,131.78,132.06,1857.64429
1.58E+09,132.05,132.4,131.96,132.33,1133.07608
1.58E+09,132.33,132.95,132.27,132.85,2493.94643
1.58E+09,132.86,133.05,132.42,132.6,2148.66647
1.58E+09,132.62,132.91,132.39,132.69,1612.29719
1.58E+09,132.69,132.72,132.27,132.29,1129.13321
1.58E+09,132.29,132.53,132.29,132.34,533.91045
1.58E+09,132.34,132.46,132.14,132.38,577.26059
1.58E+09,132.38,132.46,131.73,131.81,1789.60108
1.58E+09,131.82,132.01,131.57,131.97,1956.00287
1.58E+09,131.97,132.13,131.67,132.04,1384.92886
1.58E+09,132.04,132.04,131.62,131.85,883.48538
1.58E+09,131.84,131.99,131.64,131.8,457.85311
1.58E+09,131.8,132.16,131.74,131.82,534.48646
1.58E+09,131.82,132.04,131.79,131.86,235.38948
1.58E+09,131.86,131.98,131.78,131.85,268.39842
1.58E+09,131.85,132.25,131.7,132.17,948.50553
1.58E+09,132.17,132.2,131.89,132.11,472.54726
1.58E+09,132.1,132.24,132,132.18,325.34164
1.58E+09,132.17,132.3,132.02,132.1,574.04044
1.58E+09,132.07,132.37,132,132.06,465.95817
1.58E+09,132.06,132.18,131.68,131.95,2189.24768
1.58E+09,131.95,132.2,131.71,131.78,1650.17396
1.58E+09,131.82,131.82,130.3,130.68,8591.25232
1.58E+09,130.69,130.73,130.34,130.41,825.39441
1.58E+09,130.36,130.4,129.9,130.08,2364.74187
1.58E+09,130.09,130.55,129.93,130.27,3094.67889
1.58E+09,130.28,130.28,129.74,129.93,1516.29153
1.58E+09,129.92,130.56,129.92,130.47,795.05603
1.58E+09,130.47,130.58,130.17,130.48,763.7665
1.58E+09,130.48,130.87,130.47,130.77,790.34585
1.58E+09,130.72,130.72,130.29,130.37,927.88769
1.58E+09,130.39,130.44,130.27,130.37,255.75031
1.58E+09,130.38,130.66,130.35,130.66,1204.47024
1.58E+09,130.66,130.78,130.44,130.67,1384.55846
1.58E+09,130.66,130.67,130.37,130.39,1161.02837
1.58E+09,130.38,130.57,130.38,130.45,690.98024
1.58E+09,130.45,130.5,130.12,130.18,1269.22009
1.58E+09,130.2,130.29,130.15,130.15,563.29042
1.58E+09,130.14,130.16,129.55,129.73,3392.79649
1.58E+09,129.75,129.83,128.89,129.39,7737.8375
1.58E+09,129.39,129.74,129.01,129.69,5523.24675
1.58E+09,129.69,129.81,129.43,129.72,2424.54135
1.58E+09,129.71,129.71,129.32,129.49,2769.797
1.58E+09,129.5,129.52,129.1,129.3,3434.73183
1.58E+09,129.31,129.37,129,129.06,2442.73508
1.58E+09,129.04,129.21,128.77,129.1,3302.92243
1.58E+09,129.09,129.53,128.69,129.43,4215.38521
1.58E+09,129.44,129.75,129.43,129.55,1581.43262
1.58E+09,129.54,129.87,129.4,129.67,1874.50698
1.58E+09,129.67,129.75,129.48,129.55,1260.35278
1.58E+09,129.57,129.65,129.32,129.43,2190.68674
1.58E+09,129.44,129.75,129.38,129.4,1409.68182
1.58E+09,129.4,129.69,129.38,129.5,2614.64308
1.58E+09,129.51,129.65,129.3,129.63,1061.73092
1.58E+09,129.6,129.69,129.49,129.52,852.48077
1.58E+09,129.52,129.86,129.48,129.84,1192.44242
1.58E+09,129.86,129.99,129.7,129.79,1616.54734
1.58E+09,129.8,129.8,129.15,129.42,1161.96352
1.58E+09,129.43,129.67,129.19,129.33,1616.9621
1.58E+09,129.33,129.37,129.02,129.11,1804.10937
1.58E+09,129.1,129.52,128.96,129.5,1854.80064
1.58E+09,129.46,129.65,129.19,129.26,1272.48835
1.58E+09,129.23,129.97,129.21,129.9,2280.29213
1.58E+09,129.91,129.95,129.66,129.7,1183.69961
1.58E+09,129.69,130.14,129.62,129.99,2229.20925
1.58E+09,129.99,130.27,129.89,130.21,1512.46981
1.58E+09,130.21,130.21,129.75,129.84,1418.03337
1.58E+09,129.84,129.92,129.57,129.67,805.0735
1.58E+09,129.67,129.86,129.6,129.8,2208.21945
1.58E+09,129.81,130.07,129.75,129.98,1397.32537
1.58E+09,129.97,130.28,129.78,130.13,2172.64244
1.58E+09,130.11,130.14,129.88,130.09,3148.01921
1.58E+09,130.09,130.17,129.84,129.87,1660.57396
1.58E+09,129.88,129.91,129.66,129.72,1033.11228
1.58E+09,129.73,129.94,129.7,129.8,577.92396
1.58E+09,129.76,129.87,129.46,129.58,1420.32526
1.58E+09,129.58,129.73,129.44,129.67,1025.96642
1.58E+09,129.67,129.74,129.49,129.53,1269.03421
1.58E+09,129.52,129.99,129.52,129.87,1286.55725
1.58E+09,129.88,129.89,129.64,129.79,771.67296
1.58E+09,129.8,129.8,129.52,129.67,708.29391
1.58E+09,129.67,129.99,129.63,129.96,951.93662
1.58E+09,129.97,130.01,129.83,129.9,865.4717
1.58E+09,129.92,129.96,129.81,129.82,783.39792
1.58E+09,129.83,129.83,129.07,129.35,4069.4581
1.58E+09,129.36,129.69,128.9,129.35,2828.67863
1.58E+09,129.34,129.61,129.21,129.35,1360.70401
1.58E+09,129.34,129.44,129.25,129.41,1348.54996
1.58E+09,129.42,129.78,129.31,129.77,1306.63349
1.58E+09,129.78,129.86,129.32,129.37,1523.03725
1.58E+09,129.37,129.8,129.36,129.59,1292.30201
1.58E+09,129.6,129.7,129.37,129.43,2218.65385
1.58E+09,129.43,129.64,129.36,129.63,935.44262
1.58E+09,129.64,129.72,129.5,129.59,906.22186
1.58E+09,129.58,129.78,129.09,129.15,2081.62884
1.58E+09,129.19,129.43,129.12,129.38,1878.08999
1.58E+09,129.39,129.47,129.14,129.18,1837.81992
1.58E+09,129.16,129.19,126.94,127.6,27199.35604
1.58E+09,127.6,127.66,126.38,126.84,20993.94294
1.58E+09,126.83,127.34,126.5,126.79,9308.79295
1.58E+09,126.82,127.68,126.75,127.52,7117.35804
1.58E+09,127.52,127.55,127.19,127.4,3009.818
1.58E+09,127.42,127.52,127.13,127.34,3672.81414
1.58E+09,127.37,127.55,127.32,127.33,876.44976
1.58E+09,127.33,127.63,127.17,127.57,1905.16963
1.58E+09,127.57,127.75,127.48,127.49,906.22535
1.58E+09,127.49,127.53,127.08,127.33,1305.56563
1.58E+09,127.32,127.55,127.17,127.31,1001.24639
1.58E+09,127.31,127.58,127.17,127.4,1676.46712
1.58E+09,127.41,127.67,127.41,127.62,763.80728
1.58E+09,127.63,127.64,127.21,127.27,2459.74451
1.58E+09,127.27,127.32,126.79,126.97,1624.0963
1.58E+09,126.97,127.44,126.92,127.22,942.36343
1.58E+09,127.22,127.31,127.16,127.16,770.21655
1.58E+09,127.16,127.33,127.15,127.26,424.75157
1.58E+09,127.26,127.48,127.2,127.42,368.073
1.58E+09,127.44,127.86,127.41,127.78,798.74858
1.58E+09,127.78,127.87,127.67,127.72,634.3795
1.58E+09,127.72,127.76,127.24,127.32,775.93756
1.58E+09,127.32,127.42,127.25,127.32,732.14882
1.58E+09,127.33,127.46,127.26,127.32,702.19897
