time,open,high,low,close,volume
1577836800,41.29,41.29,41.16,41.19,1355.11
1577837700,41.2,41.21,41.17,41.2,649.58
1577838600,41.22,41.28,41.22,41.26,478.91
1577839500,41.26,41.29,41.22,41.28,344.47
1577840400,41.28,41.39,41.27,41.38,613.06
1577841300,41.36,41.64,41.34,41.61,2270.23
1577842200,41.61,41.7,41.56,41.6,2917.12
1577843100,41.61,41.63,41.54,41.62,1014.27
1577844000,41.63,41.73,41.62,41.67,1562.00
1577844900,41.68,41.75,41.65,41.68,1229.05
1577845800,41.7,41.81,41.7,41.78,1540.91
1577846700,41.81,41.88,41.76,41.85,1425.23
1577847600,41.84,41.85,41.6,41.62,2188.21
1577848500,41.64,41.67,41.59,41.64,926.17
1577849400,41.65,41.66,41.53,41.54,208.53
1577850300,41.53,41.55,41.49,41.53,550.10
1577851200,41.53,41.54,41.47,41.49,489.33
1577852100,41.47,41.52,41.45,41.49,567.83
1577853000,41.49,41.74,41.49,41.72,2157.32
1577853900,41.71,41.85,41.59,41.59,2103.33
1577854800,41.61,41.69,41.6,41.63,400.17
1577855700,41.61,41.66,41.59,41.65,205.17
1577856600,41.65,41.78,41.6,41.77,795.31
1577857500,41.76,41.84,41.7,41.78,1120.51
1577858400,41.79,41.82,41.73,41.75,940.04
1577859300,41.74,41.81,41.74,41.78,965.13
1577860200,41.79,41.8,41.59,41.59,2896.58
1577861100,41.6,41.64,41.5,41.62,2524.03
1577862000,41.61,41.61,41.54,41.57,199.69
1577862900,41.58,41.63,41.55,41.63,346.47
1577863800,41.63,41.64,41.47,41.5,762.93
1577864700,41.5,41.59,41.48,41.58,1070.72
1577865600,41.58,41.61,41.52,41.53,1400.17
1577866500,41.52,41.52,41.41,41.47,1670.90
1577867400,41.48,41.52,41.42,41.44,841.52
1577868300,41.43,41.51,41.4,41.51,710.22
1577869200,41.52,41.63,41.51,41.58,779.14
1577870100,41.6,41.65,41.57,41.62,1061.27
1577871000,41.62,41.71,41.62,41.64,564.30
1577871900,41.64,41.65,41.56,41.58,433.26
1577872800,41.58,41.68,41.56,41.67,664.78
1577873700,41.7,41.76,41.67,41.74,829.18
1577874600,41.76,41.76,41.7,41.75,359.82
1577875500,41.73,41.76,41.71,41.71,702.94
1577876400,41.71,41.79,41.71,41.76,727.14
1577877300,41.76,41.98,41.74,41.91,1573.44
1577878200,41.92,42,41.85,41.94,2414.38
1577879100,41.95,41.95,41.53,41.59,2974.32
1577880000,41.59,41.73,41.59,41.69,717.76
1577880900,41.7,41.78,41.68,41.71,369.32
1577881800,41.7,41.8,41.68,41.77,807.72
1577882700,41.76,41.83,41.75,41.8,374.72
1577883600,41.8,41.84,41.76,41.79,575.03
1577884500,41.8,41.83,41.72,41.81,1473.78
1577885400,41.82,41.9,41.81,41.87,1036.66
1577886300,41.87,41.95,41.83,41.84,1500.01
1577887200,41.85,41.87,41.76,41.8,885.04
1577888100,41.83,41.93,41.82,41.91,871.50
1577889000,41.92,41.94,41.85,41.88,1283.46
1577889900,41.86,41.86,41.8,41.84,1096.49
1577890800,41.85,41.9,41.83,41.86,502.64
1577891700,41.87,41.9,41.8,41.9,730.79
1577892600,41.9,42,41.88,41.93,1606.31
1577893500,41.95,41.99,41.85,41.95,1149.20
1577894400,41.94,42.05,41.86,41.92,2940.68
1577895300,41.92,41.92,41.77,41.82,961.72
