time,open,high,low,close,volume
1.58E+09,41.29,41.29,41.16,41.19,1355.10796
1.58E+09,41.2,41.21,41.17,41.2,649.57758
1.58E+09,41.22,41.28,41.22,41.26,478.90868
1.58E+09,41.26,41.29,41.22,41.28,344.46616
1.58E+09,41.28,41.39,41.27,41.38,613.06474
1.58E+09,41.36,41.64,41.34,41.61,2270.2336
1.58E+09,41.61,41.7,41.56,41.6,2917.12209
1.58E+09,41.61,41.63,41.54,41.62,1014.26565
1.58E+09,41.63,41.73,41.62,41.67,1562.00274
1.58E+09,41.68,41.75,41.65,41.68,1229.04906
1.58E+09,41.7,41.81,41.7,41.78,1540.90958
1.58E+09,41.81,41.88,41.76,41.85,1425.23346
1.58E+09,41.84,41.85,41.6,41.62,2188.21413
1.58E+09,41.64,41.67,41.59,41.64,926.1717
1.58E+09,41.65,41.66,41.53,41.54,208.53499
1.58E+09,41.53,41.55,41.49,41.53,550.10288
1.58E+09,41.53,41.54,41.47,41.49,489.32945
1.58E+09,41.47,41.52,41.45,41.49,567.83339
1.58E+09,41.49,41.74,41.49,41.72,2157.324
1.58E+09,41.71,41.85,41.59,41.59,2103.3328
1.58E+09,41.61,41.69,41.6,41.63,400.16869
1.58E+09,41.61,41.66,41.59,41.65,205.17099
1.58E+09,41.65,41.78,41.6,41.77,795.30548
1.58E+09,41.76,41.84,41.7,41.78,1120.51488
1.58E+09,41.79,41.82,41.73,41.75,940.04055
1.58E+09,41.74,41.81,41.74,41.78,965.12809
1.58E+09,41.79,41.8,41.59,41.59,2896.57542
1.58E+09,41.6,41.64,41.5,41.62,2524.03381
1.58E+09,41.61,41.61,41.54,41.57,199.69036
1.58E+09,41.58,41.63,41.55,41.63,346.46783
1.58E+09,41.63,41.64,41.47,41.5,762.93314
1.58E+09,41.5,41.59,41.48,41.58,1070.72014
1.58E+09,41.58,41.61,41.52,41.53,1400.16913
1.58E+09,41.52,41.52,41.41,41.47,1670.90307
1.58E+09,41.48,41.52,41.42,41.44,841.51803
1.58E+09,41.43,41.51,41.4,41.51,710.21634
1.58E+09,41.52,41.63,41.51,41.58,779.14497
1.58E+09,41.6,41.65,41.57,41.62,1061.27339
1.58E+09,41.62,41.71,41.62,41.64,564.30383
1.58E+09,41.64,41.65,41.56,41.58,433.26368
1.58E+09,41.58,41.68,41.56,41.67,664.78439
1.58E+09,41.7,41.76,41.67,41.74,829.17677
1.58E+09,41.76,41.76,41.7,41.75,359.81799
1.58E+09,41.73,41.76,41.71,41.71,702.94036
1.58E+09,41.71,41.79,41.71,41.76,727.13954
1.58E+09,41.76,41.98,41.74,41.91,1573.43823
1.58E+09,41.92,42,41.85,41.94,2414.38227
1.58E+09,41.95,41.95,41.53,41.59,2974.32495
1.58E+09,41.59,41.73,41.59,41.69,717.76085
1.58E+09,41.7,41.78,41.68,41.71,369.31841
1.58E+09,41.7,41.8,41.68,41.77,807.71576
1.58E+09,41.76,41.83,41.75,41.8,374.71754
1.58E+09,41.8,41.84,41.76,41.79,575.02607
1.58E+09,41.8,41.83,41.72,41.81,1473.77929
1.58E+09,41.82,41.9,41.81,41.87,1036.65584
1.58E+09,41.87,41.95,41.83,41.84,1500.01292
1.58E+09,41.85,41.87,41.76,41.8,885.03911
1.58E+09,41.83,41.93,41.82,41.91,871.49921
1.58E+09,41.92,41.94,41.85,41.88,1283.45658
1.58E+09,41.86,41.86,41.8,41.84,1096.48736
1.58E+09,41.85,41.9,41.83,41.86,502.64067
1.58E+09,41.87,41.9,41.8,41.9,730.78973
1.58E+09,41.9,42,41.88,41.93,1606.31358
1.58E+09,41.95,41.99,41.85,41.95,1149.19857
1.58E+09,41.94,42.05,41.86,41.92,2940.68206
1.58E+09,41.92,41.92,41.77,41.82,961.71887
1.58E+09,41.8,41.94,41.78,41.9,680.92478
1.58E+09,41.91,42.08,41.91,42.04,1609.42688
1.58E+09,42.06,42.07,41.94,42,1814.02335
1.58E+09,42.01,42.05,41.96,42.01,793.8158
1.58E+09,42.01,42.01,41.89,41.9,1045.57872
1.58E+09,41.9,41.95,41.86,41.88,1044.28453
1.58E+09,41.89,41.91,41.82,41.83,1647.03465
1.58E+09,41.85,41.87,41.68,41.7,2052.19502
1.58E+09,41.7,41.71,41.57,41.7,1161.06241
1.58E+09,41.71,41.84,41.61,41.82,1511.21541
1.58E+09,41.81,41.81,41.72,41.76,993.19739
1.58E+09,41.78,41.83,41.69,41.71,588.35957
1.58E+09,41.74,41.76,41.66,41.67,536.89744
1.58E+09,41.66,41.73,41.63,41.63,1152.27777
1.58E+09,41.62,41.64,41.57,41.61,1691.65429
1.58E+09,41.62,41.71,41.51,41.69,1390.67591
1.58E+09,41.72,41.75,41.61,41.7,1083.05734
1.58E+09,41.67,41.73,41.61,41.73,277.60069
1.58E+09,41.73,41.73,41.6,41.63,409.8369
1.58E+09,41.6,41.71,41.58,41.62,1277.09586
1.58E+09,41.62,41.67,41.52,41.64,823.01024
1.58E+09,41.64,41.76,41.63,41.66,2956.76887
1.58E+09,41.65,41.66,41.53,41.58,2038.79821
1.58E+09,41.58,41.61,41.54,41.55,357.95934
1.58E+09,41.54,41.57,41.43,41.46,2321.14098
1.58E+09,41.47,41.58,41.35,41.51,1778.42769
1.58E+09,41.5,41.5,41.32,41.41,802.06925
1.58E+09,41.42,41.57,41.36,41.53,1366.62212
1.58E+09,41.53,41.6,41.47,41.54,1022.25392
1.58E+09,41.56,41.65,41.56,41.62,410.46574
1.58E+09,41.58,41.64,41.53,41.6,318.32119
1.58E+09,41.61,41.66,41.6,41.64,352.98726
1.58E+09,41.64,41.7,41.64,41.69,565.30794
1.58E+09,41.71,41.74,41.66,41.74,1306.10215
1.58E+09,41.74,41.74,41.56,41.56,478.59132
1.58E+09,41.56,41.62,41.54,41.62,181.42968
1.58E+09,41.59,41.63,41.56,41.56,192.85987
1.58E+09,41.55,41.57,41.5,41.54,678.71664
1.58E+09,41.53,41.53,41.34,41.35,3346.80167
1.58E+09,41.39,41.43,41.33,41.38,1965.73984
1.58E+09,41.37,41.38,41.32,41.35,823.49115
1.58E+09,41.36,41.39,41.33,41.37,381.70861
1.58E+09,41.35,41.39,41.28,41.35,993.02377
1.58E+09,41.36,41.43,41.3,41.31,1161.76077
1.58E+09,41.33,41.4,41.25,41.28,1133.23594
1.58E+09,41.29,41.3,41.16,41.18,1348.64855
1.58E+09,41.18,41.39,41.14,41.36,2047.47766
1.58E+09,41.37,41.41,41.28,41.28,585.67459
1.58E+09,41.28,41.36,41.24,41.35,880.31076
1.58E+09,41.33,41.42,41.26,41.35,553.39259
1.58E+09,41.33,41.39,41.3,41.37,304.20124
1.58E+09,41.34,41.38,41.29,41.31,376.01794
1.58E+09,41.3,41.39,41.3,41.33,666.72077
1.58E+09,41.34,41.36,41.25,41.33,326.45564
1.58E+09,41.33,41.33,41.27,41.32,480.31955
1.58E+09,41.3,41.38,41.28,41.32,772.1907
1.58E+09,41.33,41.35,41.24,41.33,1089.3601
1.58E+09,41.33,41.33,41.19,41.26,1218.64526
1.58E+09,41.25,41.3,41.18,41.21,827.76918
1.58E+09,41.2,41.24,41.15,41.2,1213.56452
1.58E+09,41.19,41.26,41.13,41.24,784.73655
1.58E+09,41.24,41.27,41.14,41.17,2021.43277
1.58E+09,41.16,41.38,41.14,41.37,1406.71543
1.58E+09,41.38,41.4,41.26,41.26,603.48615
1.58E+09,41.26,41.43,41.22,41.4,731.26442
1.58E+09,41.4,41.41,41.36,41.38,592.29528
1.58E+09,41.38,41.41,41.34,41.37,870.24437
1.58E+09,41.36,41.43,41.3,41.3,1173.27048
1.58E+09,41.32,41.39,41.3,41.39,637.82482
1.58E+09,41.39,41.47,41.37,41.47,772.65391
1.58E+09,41.47,41.66,41.44,41.56,2016.48165
1.58E+09,41.57,41.58,41.44,41.52,2293.34619
1.58E+09,41.52,41.53,41.4,41.42,555.35723
1.58E+09,41.42,41.45,41.34,41.42,601.86798
1.58E+09,41.44,41.58,41.43,41.5,1511.08485
1.58E+09,41.5,41.52,41.41,41.46,872.17466
1.58E+09,41.46,41.46,41.33,41.36,780.60996
1.58E+09,41.36,41.45,41.36,41.4,786.38034
1.58E+09,41.4,41.54,41.4,41.5,529.64813
1.58E+09,41.5,41.5,41.4,41.46,477.52127
1.58E+09,41.45,41.45,41.33,41.36,451.02384
1.58E+09,41.34,41.44,41.34,41.44,1188.52251
1.58E+09,41.44,41.48,41.27,41.29,1801.43317
1.58E+09,41.3,41.34,41.27,41.28,1173.20649
1.58E+09,41.27,41.27,41.11,41.19,2724.42826
1.58E+09,41.19,41.2,41.02,41.19,1284.60283
1.58E+09,41.2,41.27,41.07,41.08,976.74646
1.58E+09,41.08,41.15,41,41.15,2041.15822
1.58E+09,41.15,41.29,41.09,41.29,1005.86614
1.58E+09,41.29,41.29,41.12,41.13,696.20573
1.58E+09,41.12,41.21,41.1,41.12,1630.44718
1.58E+09,41.12,41.14,41.03,41.05,1044.30211
1.58E+09,41.05,41.13,41.03,41.11,1408.13844
1.58E+09,41.13,41.18,41.09,41.17,532.51314
1.58E+09,41.15,41.25,41.01,41.05,1103.2179
1.58E+09,41.06,41.12,41.02,41.07,647.6249
1.58E+09,41.08,41.11,41,41.05,1233.0661
1.58E+09,41.04,41.04,40.22,40.37,22496.32683
1.58E+09,40.35,40.35,39.17,39.63,36975.80458
1.58E+09,39.64,39.78,39.28,39.53,15801.23223
1.58E+09,39.51,39.82,39.49,39.73,3707.91563
1.58E+09,39.71,39.75,39.56,39.64,2548.702
1.58E+09,39.66,39.67,39.52,39.6,3277.09888
1.58E+09,39.59,39.72,39.57,39.59,2357.19329
1.58E+09,39.57,39.71,39.53,39.65,2034.6874
1.58E+09,39.65,39.69,39.56,39.59,2718.65624
1.58E+09,39.59,39.61,39.47,39.58,1337.77063
1.58E+09,39.59,39.69,39.59,39.65,1783.68276
1.58E+09,39.65,39.74,39.6,39.68,1265.55513
1.58E+09,39.7,39.75,39.64,39.65,2341.95423
1.58E+09,39.66,39.66,39.51,39.55,932.04144
1.58E+09,39.52,39.57,39.3,39.35,4445.12182
1.58E+09,39.34,39.66,39.34,39.51,2567.06679
1.58E+09,39.53,39.54,39.37,39.37,1218.94353
1.58E+09,39.38,39.52,39.36,39.45,2464.12439
1.58E+09,39.45,39.52,39.44,39.52,1180.50027
1.58E+09,39.52,39.61,39.51,39.61,771.80078
1.58E+09,39.61,39.66,39.56,39.61,1609.9763
1.58E+09,39.61,39.61,39.51,39.53,712.59791
1.58E+09,39.53,39.59,39.51,39.54,1147.23071
1.58E+09,39.54,39.56,39.45,39.46,3085.21828
1.58E+09,39.45,39.57,39.44,39.5,1641.15196
1.58E+09,39.51,39.53,39.36,39.38,2710.01909
1.58E+09,39.38,39.46,39.3,39.44,2121.84991
1.58E+09,39.44,39.51,39.41,39.46,949.17844
1.58E+09,39.44,39.46,39.38,39.43,751.08754
1.58E+09,39.44,39.44,39.23,39.42,3071.9814
1.58E+09,39.42,39.42,39.19,39.24,1993.9235
1.58E+09,39.24,39.35,39.12,39.13,1339.33626
1.58E+09,39.15,39.29,39.1,39.26,2710.9887
1.58E+09,39.25,39.25,39,39.09,2931.50564
1.58E+09,39.06,39.18,39,39.15,5469.79998
1.58E+09,39.15,39.17,39.01,39.09,1396.41845
1.58E+09,39.09,39.09,38.77,38.88,6074.07621
1.58E+09,38.91,39.12,38.83,39.12,2442.279
1.58E+09,39.12,39.31,39.1,39.3,2535.14195
1.58E+09,39.32,39.48,39.3,39.45,2600.64219
1.58E+09,39.45,39.51,39.4,39.49,1289.00299
1.58E+09,39.46,39.48,39.39,39.47,975.18099
